id,inner_id,mark,model,url,price_rub,price_usd,price_eur,year,km_age,color,wheel,vin,pts,owners_count,start_owning,section,condition,in_stock,custom,seller,address,region,city,offer_updated_at,options,engine_type,displacement,horse_power,body_type,transmission,drive_type,image_urls
172449,19432963-92dfbc21,ГАЗ,ГАЗель Next,https://auto.ru/lcv/used/sale/gaz/gazel_next/19432963-92dfbc21/,1800000,25865,23753,2016,139408,белый,левый,,оригинал,1,,USED,среднее,IN_STOCK,растаможен,afetisov432,"площадь Минина и Пожарского, 11",Нижегородская область,Нижний Новгород,2023-01-31 00:05:56 +0300,,дизель,2.8,150,тент,механика,задний,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2155159/ea656435bacf3de850d31f7180b1eec9/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1906600/9f2bac62783443bfa2b5edef94ad8309/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2079765/c6542048ea9bfba89cce78bb8fec1d2e/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1650647/c383fd9bf0aff52c1a51157243bafd65/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2035927/cfb7a615d4d67ee6aabb95e71fc7e68d/1200x900n""}]"
172450,19432801-f3ea315c,Ford,Transit,https://auto.ru/lcv/used/sale/ford/transit_lt/19432801-f3ea315c/,1800000,25865,23753,2017,100110,белый,левый,XUS**************,оригинал,2,,USED,среднее,IN_STOCK,растаможен,id52304042,"Новомещерский проезд, 9с1",Москва и Московская область,Москва,2023-01-20 06:21:42 +0300,"[""cd"",""wheel-power"",""air-conditioner"",""electro-mirrors"",""mirrors-heat"",""electro-window""]",дизель,2.2,155,промтоварный автофургон,механика,задний,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2076334/5c303e2df81f5378f66a3e823d8ac29c/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2180566/47faa31e4921363337cd3d581bb27b5b/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2133191/9782c6eddcca7991a0322b1872a8bcba/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2155780/8823c95394208f8f49274b0f6fe400e8/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4792406/ce06f6224b60a19de930ce3e512a976c/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4476278/0e6ac102b91194fdf02ca362fbf67cd0/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2180566/c2fde00b2b5d6a840f294a616d065f17/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2155859/489d775325f82347697be44139321f48/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2171035/29843c0e056b6550dca6fea3e18cfc1c/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2069717/9200a6c622dbaac630d99b2368ce054e/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2170895/60592f269ab5edcc1c252708a80f3a8d/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4387000/c8ec5e6f712a75b606eae575a54bdb3d/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2197485/eea4354c7bc2a76e0add42285f919d32/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2144399/7c7adddfc3a89f1f52c5908b4ee31051/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1629149/565ecfa3a91441783676882bd3c859a4/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/7014699/416b137bfaf987a08b4d5945f8de6158/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2058473/b661d207c5ed5859eaf25b1b296278b6/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/7180413/ae346dc28090030500d51e877c252db6/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1582741/fb180b302c40c85de7ea5fa74ea86e67/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2163924/0a060f0ab135d141091f1fad10f96cf0/1200x900n""}]"
172451,19432536-dd357a00,МАЗ,3650,https://auto.ru/lcv/used/sale/maz/3650/19432536-dd357a00/,1800000,25865,23753,2012,300000,белый,левый,X89**************,оригинал,2,,USED,среднее,IN_STOCK,растаможен,Михаил,Северная 44. К9,Вологодская область,Бабаево,2023-01-30 23:25:04 +0300,,дизель,4.7,136,эвакуатор,механика,задний,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2146251/88e2a469529f126a3296030303e609f0/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5316982/17dc3409336ec3b8f1b6ce379a3398ef/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5086608/83fd4b22ba0b3c322a690b3ff9009202/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2035927/a959ac8867c8be6ea4afa05dfa2137d5/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2164685/0816c9f89d29504d03e0592be809a81d/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5238237/179eda041c04f18c248665e224bf9c3c/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2161464/f52047345375273718fb58fa0e859d25/1200x900n""}]"
172454,16083312-9d54512b,Mercedes-Benz,Sprinter Classic,https://auto.ru/lcv/used/sale/mercedes/sprinter_classic/16083312-9d54512b/,1890000,27158,24941,2015,167000,белый,левый,XDN**************,оригинал,2,,USED,среднее,IN_STOCK,растаможен,ArtemNN,улица Горького,Нижегородская область,Нижний Новгород,2023-01-30 19:13:46 +0300,"[""cd"",""abs"",""air-conditioner"",""wheel-power"",""electro-window"",""alarm"",""lock"",""airbag1"",""traction-control""]",дизель,2.1,109,микроавтобус,механика,задний,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1962792/7cfff85b8cbc434ef3bdd32e8dcfe9f5/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1969232/9d0ca4b7620ce9a42a2a0e06bfa9a268/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5331577/dc166de7b6eed02dec6e8adc8376ad80/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5358521/e1215677a9972bd11ce97e67276b0f0c/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1904082/27f1a6ce8879181c42abf6ed9521e6e7/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5176229/cf1111b3decd98f7edb352664d69f112/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5207412/9a2e9a89160046ba653e58693e7bf7f5/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5151058/643192f6d0c312e6d2d1e01fb3619572/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4892850/70988e45492d0aa79d5f22232c78a096/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5207325/a0cec42b869adb86cb98590e211ca81d/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1962792/ef3a77c2da1b187b3839f6e2f83efd4d/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5361123/f4aeeb28d7ca3725f0996aaed9e372ef/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5288814/13fa9f5ebaa104e5b1e20c3eda4069e4/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5234985/c0ab8793be70a35a2e564e5faaf63720/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4706517/21d9d56788d568d4d5de15442307d740/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5231156/c1c6f798d4487f705b7c9aa2bf465289/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5236873/718ce6a1b98cf6ecb16f81ff0d86cfda/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/3564599/6870ad504afb62b50858ddad95fbfbf8/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5218821/4ebd19f41dd1df61eb502315533b915d/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5231860/e42fa45ea0c47a86dece5b2e2a8d11cb/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5246345/be225cf2fb7c72f6de54e124e1e8ed38/1200x900n""}]"
172458,19417378-937295f4,УАЗ,2360,https://auto.ru/lcv/new/sale/uaz/2360/19417378-937295f4/,1850000,26583,24413,2022,,белый,левый,XTT**************,оригинал,0,,NEW,среднее,IN_STOCK,растаможен,ТТМ Центр УАЗ Ленинские Горки,"Каширское шоссе, владение №28",Москва и Московская область,Горки Ленинские,2023-01-30 23:02:17 +0300,"[""abs"",""air-conditioner"",""mirrors-heat"",""wheel-power"",""electro-window"",""seats-heat2"",""wheel-configuration"",""airbag1""]",бензин-газ,2.7,150,тент,механика,задний,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2180384/c8bc69fd0b228328ddb9c82ada15c37c/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1999239/e1eece984cd9aedb4e3f41a1e35a8c35/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2156128/b517664ad3909ca7f0d861d067efbd38/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1541975/bdeb0de4d15ea13140a29d12d7b108b3/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2194048/07058103a90427d74e1e6cb4fc37cb81/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1782919/a2b7dda4275da25319f2effe2424ec5c/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1574485/6b8ad16935e7fef34648b0839dd9f5bb/1200x900n""}]"
172460,19432540-e992a145,ГАЗ,ГАЗель (33023/330273) Фермер,https://auto.ru/lcv/used/sale/gaz/gazel_3302_fermer/19432540-e992a145/,1850000,26583,24413,2021,110000,белый,левый,XZV**************,оригинал,1,,USED,среднее,IN_STOCK,растаможен,Константин ,,Самарская область,Тимофеевка,2023-01-30 23:28:46 +0300,"[""cd"",""mirrors-heat"",""wheel-power"",""alarm""]",бензин-газ,2.9,107,тент,механика,задний,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2169493/bf9d4067ec01201ef94952e4cfa00b48/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1962792/c730e0ba1865942bc64330dc94239169/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1880478/6ee0f6239f2921cc58808e3d7ddddad8/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1780502/e9e617bbda6645de4b7534049de5c2df/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1669622/a1a8863fc053cc2278fcdc003eb956aa/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2175019/13c5436896c92251c62b9898f3015dc0/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4470305/67ec59a587b99b23607d05f831d3672a/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2164695/9fc4c58cf9fa5ef89b56cb59d0dbc322/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1894459/acb866846937c8440a195a3c884d5ddf/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2185781/e4acffe86e3f00e7d11f92686c36e391/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4365524/b8b4739d282aece7a8973e7159a07bed/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1860524/7ed0ab8c8f60b727a3eb5a83b8206184/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4476278/34b57e9dc65e7a228d7152f9002de0e4/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5316982/bf3a9f21ad1d868cb51d49af310f2376/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/7067970/ca475ee88387ae5d63da0ec7f31babb7/1200x900n""}]"
172461,19424215-2b4a7091,УАЗ,Профи,https://auto.ru/lcv/new/sale/uaz/profi/19424215-2b4a7091/,1960000,28164,25864,2022,,белый,левый,XTT**************,оригинал,0,,NEW,среднее,IN_STOCK,растаможен,ТТМ Центр УАЗ Ленинские Горки,"Каширское шоссе, владение №28",Москва и Московская область,Горки Ленинские,2023-01-30 22:36:39 +0300,"[""abs"",""wheel-power"",""electro-window"",""wheel-configuration"",""airbag1""]",бензин-газ,2.7,150,изотермический фургон,механика,задний,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4077809/744f217d3a832c9049dbe5aedbc0d20d/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2150583/ff81fa7d6bd54f0d49ff454b34e18a71/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/3918906/1f446986d12b14cf44bc2c7f82a97b06/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2160984/65f1ffe0286e84ab03ec11ed9ec4bdf3/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2180783/a0b647263b917e731ba5e4375a6e8517/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4121071/4a653dcf39863292c6e33ca9ad0098f8/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2172360/ba20caea8ec3153fd960b764a0b42039/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2156435/c7c573f8de97f2f918103ebb8ea01348/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2090212/e5c579e1aebeb0bcf774a7581b012156/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2158086/11d6dcb6c3d7a8a4993a0469967f49c5/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2180566/1e74b202aaa2d594c70d32e445187c17/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4581701/9e3aab9e0cb7c2d1e38ab1b2f799fcc6/1200x900n""}]"
172462,19432552-aa7b6f1a,Fiat Professional,Ducato,https://auto.ru/lcv/used/sale/fiat_professional/ducato/19432552-aa7b6f1a/,1970000,28308,25996,2018,181600,белый,левый,ZGA**************,оригинал,2,,USED,среднее,IN_STOCK,растаможен,Александр,,Брянская область,Брянск,2023-01-30 23:46:57 +0300,,дизель,2.3,130,цельнометаллический фургон,механика,передний,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1984354/41651990881ea63a868d50710bc2195a/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2176999/f9188f603c079b057edda99bc66c7f81/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2162278/2c92021266f3c9b92eab6eccaad2217c/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2154805/f52ce2edbbb9cbb7b294d9ecca189bed/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4792406/2631642d0c4f616a4be47a1901055a8e/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2087846/5a704597f0ef5b260cfaab14a9af9c08/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1863716/47829794ba9156d3081aac547adb918b/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2153937/a6836c2e5ee9fc80dd55439308d0ddd9/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2181185/62836b935c36f033327fe1b42acdf989/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1956270/ab9cdac1b7001cf61f509acab16701b6/1200x900n""}]"
172468,19432839-4dc46220,ГАЗ,ГАЗель Next,https://auto.ru/lcv/used/sale/gaz/gazel_next/19432839-4dc46220/,2100000,30176,27712,2020,102000,серебристый,левый,,оригинал,1,,USED,среднее,IN_STOCK,растаможен,Частное лицо,,Свердловская область,Екатеринбург,2023-01-30 19:42:01 +0300,,дизель,2.8,150,тент,механика,задний,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1993805/5624a6ae9988b333c6a3b9c44a39141e/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2150233/940be58ef66b8329c185399e1fe0aacc/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2058179/301352cc84939e9219d9352f7f455fc9/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2074492/16e1c9080c5f57155d2040f48cb92128/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1643175/2263fcd7c54b18ad643d84418ef0e2fc/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/3910839/f9048f0c38d7d432a8ef980c188cc163/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2156560/4b18d720a8f006f8e17433ffbf91f19e/1200x900n""}]"
172469,19432948-b50560d4,Mercedes-Benz,Sprinter Classic,https://auto.ru/lcv/used/sale/mercedes/sprinter_classic/19432948-b50560d4/,2090000,30032,27580,2018,109000,белый,левый,,оригинал,1,,USED,среднее,IN_STOCK,растаможен,Борис,"Марсово поле, 1",Санкт-Петербург и Ленинградская область,Санкт-Петербург,2023-01-30 23:20:10 +0300,"[""cruise-control"",""abs"",""dvd"",""wheel-power"",""electro-window"",""alarm"",""airbag2"",""lock"",""trip-computer"",""traction-control"",""electro-mirrors""]",дизель,1.6,109,микроавтобус,механика,передний,"[{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2160241/3ad84bb3de62b79d98d4a75e8d8a98fa/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4432101/d025fd273dcf787b409e3581d31c57d3/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2197485/039c651a4abbf996a613f052f97696e3/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2163091/de1a2a8821c42ff9964f5dfb591e8470/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2157088/f67420355b228e97f8b8be4c0f5de16b/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2004588/00ae617506bef4a4349d07d18352335f/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2171287/33d05ec50a87e808ca0bb224e4ad9873/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2203170/c7d1ac56360de61f59f8bee5aa388ce2/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1950392/0bec6533adb452c3dce5efc6ba453dc8/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2159177/dfcb2f4553372d86126fc7245f9d4fef/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2156984/c0d6f2574e0bac0f99fbcb54e8cca10c/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2176395/72c67aca5bdd3a078bb0d6176e8585f1/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4476278/03259b90326a509058a081460b8cefc4/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/5231975/486c1fec082f03a88b5060c7b93b6513/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/1960984/a140c4aeb8d2d3bcfebf5f31e16d8538/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2161236/5af1271c9c9675831f8f9b73055eeb2e/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2057605/723faebaaf3d8ba22292b5fc34d44bb1/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/4470305/e4bfedc61ff28088eb2efca8a532a0be/1200x900n""},{""url"":""//avatars.mds.yandex.net/get-autoru-vos/2155046/4f68250e43eeb4d5938cb831de126c75/1200x900n""}]"
